iter	Passed	Remaining
406	5702	8309
407	5714	8292
408	5728	8277
409	5742	8264
410	5757	8251
411	5772	8238
412	5786	8224
413	5801	8211
414	5816	8199
415	5833	8188
416	5848	8175
417	5862	8162
418	5878	8151
419	5891	8136
420	5904	8120
421	5917	8105
422	5931	8090
423	5943	8073
424	5955	8057
425	5971	8046
426	5990	8038
427	6002	8022
428	6016	8007
429	6030	7994
430	6045	7980
431	6059	7966
432	6072	7951
433	6086	7937
434	6100	7923
435	6113	7908
436	6127	7894
437	6140	7879
438	6154	7864
439	6167	7849
440	6179	7832
441	6191	7816
442	6205	7802
443	6223	7792
444	6251	7796
445	6274	7793
446	6293	7786
447	6310	7775
448	6325	7762
449	6338	7747
450	6353	7733
451	6366	7719
452	6380	7704
453	6395	7690
454	6410	7678
455	6423	7663
456	6437	7648
457	6452	7636
458	6469	7625
459	6485	7613
460	6502	7602
461	6515	7587
462	6528	7571
463	6541	7556
464	6554	7541
465	6567	7526
466	6580	7510
467	6593	7495
468	6607	7481
469	6621	7466
470	6634	7451
471	6649	7438
472	6663	7424
473	6679	7412
474	6692	7396
475	6705	7381
476	6718	7365
477	6732	7352
478	6748	7340
479	6766	7329
480	6783	7319
481	6802	7310
482	6818	7298
483	6835	7287
484	6856	7280
485	6875	7271
486	6901	7269
487	6921	7261
488	6939	7251
489	6955	7239
490	6969	7225
491	6983	7210
492	6997	7196
493	7011	7182
494	7026	7168
495	7041	7154
496	7055	7140
497	7068	7125
498	7087	7115
499	7106	7106
500	7122	7094
501	7136	7079
502	7150	7065
503	7164	7050
504	7176	7034
505	7189	7018
506	7202	7004
507	7217	6989
508	7229	6974
509	7242	6958
510	7255	6943
511	7268	6927
512	7282	6913
513	7296	6899
514	7310	6884
515	7323	6869
516	7337	6854
517	7350	6839
518	7363	6824
519	7376	6808
520	7388	6792
521	7401	6777
522	7414	6762
523	7427	6747
524	7441	6733
525	7455	6718
526	7468	6703
527	7482	6689
528	7496	6674
529	7509	6659
530	7523	6644
531	7536	6630
532	7549	6614
533	7563	6600
534	7576	6584
535	7590	6570
536	7602	6555
537	7614	6538
538	7627	6523
539	7640	6508
540	7653	6493
541	7666	6478
542	7677	6461
543	7688	6444
544	7700	6429
545	7715	6415
546	7730	6401
547	7745	6388
548	7757	6372
549	7769	6356
550	7782	6342
551	7796	6327
552	7808	6311
553	7821	6296
554	7843	6289
555	7867	6283
556	7884	6270
